Date,MEDCPIM158SFRBCLE,CPIAUCSL,CPIFABSL,CPIAPPSL,CPIMEDSL,CPIHOSSL,CPITRNSL,CPIEDUSL,CPIRECSL,CPIOGSSL,Date
2018Q1,83.330563444431,133.36023516836,136.4818624797,105.38787375415,157.59967373573,136.61481086841,129.65982587065,122.35938903863,109.53038674033,145.11694747275,2018-03-31
2018Q2,110.14814132519,134.23409941208,137.01570113698,105.05398671096,158.60489396411,137.4800213106,131.41169154229,122.89937106918,109.69244935543,146.30029732408,2018-06-30
2018Q3,97.947809000942,134.78514163549,137.62912831619,103.72508305648,158.36019575856,138.33617474694,132.13992537313,123.58490566038,109.79742173112,146.4846382557,2018-09-30
2018Q4,107.03966746048,134.95082843399,138.34813210612,103.11212624585,159.34127243067,139.63132658498,129.09950248756,122.95148247978,110.45211786372,147.02973240832,2018-12-31
2019Q1,109.32766899047,135.83484767504,139.29886302112,102.98837209302,160.30244698206,140.59776238679,130.27611940298,123.30727762803,110.89686924494,148.15692104394,2019-03-31
2019Q2,145.36002274853,136.51683591662,139.52734163508,103.79485049834,161.71288743883,141.64038359084,130.7039800995,123.62353998203,110.68968692449,148.44565576478,2019-06-30
2019Q3,115.22281264948,137.10956707643,140.08662696264,103.30980066445,163.83197389886,142.54874800213,130.27611940298,124.07457322552,110.88213627993,149.71688140073,2019-09-30
2019Q4,73.113689807495,138.00267236772,140.75257173795,101.82890365448,166.59216965742,143.26744805541,131.54353233831,124.64150943396,112.08011049724,150.45028080608,2019-12-31
2020Q1,94.233757265801,137.8882950294,141.92311857066,101.28156146179,167.88417618271,143.98987746404,127.00932835821,125.20125786164,112.36187845304,152.45953088867,2020-03-31
2020Q2,62.504458577157,137.5104222341,145.55549539794,96.34219269103,169.91908646003,144.54182205647,120.39179104478,125.32794249775,112.43554327808,152.67558638916,2020-06-30
2020Q3,42.634651228313,139.04275788348,145.43638332431,97.0,170.73050570962,145.38785295685,126.3513681592,126.75831087152,112.54788213628,153.17343904856,2020-09-30
2020Q4,63.304732795678,139.79690005345,146.19112073633,97.655315614618,169.54779771615,146.15237080448,128.1828358209,127.09523809524,113.11510128913,154.0574826561,2020-12-31
2021Q1,67.040945641829,141.52485301978,146.6951813752,98.794850498339,170.85415986949,147.05966968567,134.53482587065,127.0781671159,113.55432780847,156.13049223654,2021-03-31
2021Q2,106.26175381473,144.83217530732,148.98917162967,101.02657807309,170.65513866232,149.06233351092,145.97450248756,127.95148247978,115.08747697974,156.49752229931,2021-06-30
2021Q3,203.66595107871,146.51950828434,151.92636708175,100.31478405316,171.47960848287,151.04155567395,147.18718905473,128.9460916442,116.45856353591,158.41592335646,2021-09-30
